Task_ID,Phase,Workstream,Applies_To,Task,Step_By_Step,Owner_Role,Depends_On,Planned_Start,Planned_End,Planning_Week_Start,Planning_Week_End,Effort_Hours_Estimate,Priority,Deliverable,Acceptance_Criteria,Gate,Status,Source_IDs,Source_URLs
B1-D02,07.1 Book 1 production,Authoring,B1,Draft module 02: Moj dom i moje stvari,"1) Draft B1-007, B1-008, B1-009, B1-010, B1-011, B1-012 within allocated pages; 2) use concrete Croatian scenarios and the listed observable checks; 3) draft worksheet/card/guide notes from the same source; 4) log claims, permissions and stop conditions. Chapters: Svaka stvar ima svoje mjesto; Prljavo, čisto ili za popravak?; Postavljam stol i pospremam za sobom; Prolilo se! Što sada?; Mjerim, slažem i izrađujem; Kada ne diram, nego zovem odraslu osobu",Book author,PIL-10;CUR-03;DSN-09,2027-02-15,2027-02-19,21,21,18-30,P1,Six topic manuscript packets for B1-M02,"All six topics have source notes, safety tier, accessible alternative and asset IDs; no unverified placeholders in safety steps",,NOT STARTED - proposed plan,,
B1-FACT,07.1 Book 1 production,Evidence refresh,B1,"Refresh volatile legal, safety, financial and digital references",1) Assign each high-risk topic to its expert; 2) retrieve current exact operational sources; 3) label teaching prices and dates; 4) record revision triggers,Managing editor,PIL-10;CUR-01,2027-02-15,2027-03-05,21,23,12-20,P0,Dated topic claim and source ledger,"Curriculum references never substitute for clinical, automotive or legal validation",,NOT STARTED - proposed plan,S07;S27;S28;S29;S30,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_10_212.html | https://azop.hr/primjena-opce-uredbe-o-zastiti-podataka-u-skolskim-ustanovama/ | https://www.hck.hr/kako-pomoci/mali-programi/prva-pomoc-10551/10551 | https://www.hah.hr/potrosacki-kutak/5-kljuceva-sigurnosti-hrane/ | https://www.fordservicecontent.com/Ford_Content/vdirsnet/OwnerManual/Home/Content?ProcUid=G2099248&Uid=G2099247&countryCode=USA&languageCode=en&vFilteringEnabled=False&variantid=7983
B1-Q,07.1 Book 1 production,Budget / procurement,B1,Refresh quotes and channel economics for this book,"1) Requote page count, binding and quantity scenarios; 2) update editing/art/review costs; 3) include deposit, damaged stock, returns and fulfilment; 4) approve a conservative funded print option",Commercial lead,PIL-10;DSN-06;STR-08,2027-02-15,2027-02-26,21,22,6-10,P0,Current landed-cost and cash model,"Base case does not count grants, future school adoption or unpaid orders; printer lead time may override target dates",,NOT STARTED - proposed plan,,
B1-SCOPE,07.1 Book 1 production,Commission,B1,"Confirm book-specific scope, capacity and cost ceiling","1) Confirm Mali koraci, velike vještine and the 60 topics; 2) commission roles under existing contracts; 3) verify 192-page budget; 4) stop if previous-book evidence or cash does not support expansion",Series producer,PIL-10;STR-09;LEG-03,2027-02-15,2027-02-19,21,21,4-6,P0,Book-specific commission note,Scope and maximum cash exposure approved; later-book schedule may be deferred,G-B1 Scope,NOT STARTED - proposed plan,,
EDU-01,08 School editions,Optional sampler,Series,Decide whether the 2027/2028 sampler route is viable,1) Review written AZOO classification and legal entity; 2) confirm a self-contained 12-lesson scope; 3) choose commercial/free route lawfully; 4) cancel this branch if readiness is insufficient,School-edition lead,PIL-10;LEG-05;LEG-02;CUR-10,2027-02-15,2027-02-19,21,21,3-5,P2,Sampler go/no-go decision,No school-use claim or rushed filing; core trade launch not dependent on this branch,G-ED0 Optional route,NOT STARTED - proposed plan,S16;S17;S18;S19,https://narodne-novine.nn.hr/clanci/sluzbeni/2018_12_116_2288.html | https://www.azoo.hr/drugi-obrazovni-materijali-arhiva/postupak-za-objavu-drugog-obrazovnog-materijala-u-virtualni-repozitorij/ | https://www.azoo.hr/app/uploads/2020/11/Postupak-za-objavu-DOM-a.pdf | https://www.azoo.hr/app/uploads/2020/10/Izmjena-postupka.pdf
B1-ART,07.1 Book 1 production,Illustration,B1,"Commission, draw and verify the book illustrations",1) Use approved shared style and six-topic module briefs; 2) deliver roughs before finals; 3) route every technical diagram to its specialist; 4) archive editable artwork and rights,Art director,B1-D01;B1-D02;DSN-07,2027-02-22,2027-04-16,22,29,80-140,P1,Complete illustration set and provenance ledger,Age-appropriate visual maturity; no unverified safety-critical images; all rights documented,,NOT STARTED - proposed plan,,
B1-D03,07.1 Book 1 production,Authoring,B1,Draft module 03: Prvi koraci u kuhinji,"1) Draft B1-013, B1-014, B1-015, B1-016, B1-017, B1-018 within allocated pages; 2) use concrete Croatian scenarios and the listed observable checks; 3) draft worksheet/card/guide notes from the same source; 4) log claims, permissions and stop conditions. Chapters: Čiste ruke prije kuhanja; Perem voće i povrće; Režem mekano, uz odraslu osobu; Moj prvi doručak bez štednjaka; Recept je skup jasnih koraka; Hrana nije igra pogađanja",Book author,PIL-10;CUR-03;DSN-09,2027-02-22,2027-02-26,22,22,18-30,P1,Six topic manuscript packets for B1-M03,"All six topics have source notes, safety tier, accessible alternative and asset IDs; no unverified placeholders in safety steps",,NOT STARTED - proposed plan,,
B1-D04,07.1 Book 1 production,Authoring,B1,Draft module 04: Moj prvi novac,"1) Draft B1-019, B1-020, B1-021, B1-022, B1-023, B1-024 within allocated pages; 2) use concrete Croatian scenarios and the listed observable checks; 3) draft worksheet/card/guide notes from the same source; 4) log claims, permissions and stop conditions. Chapters: Trebam ili želim?; Upoznajem eure i cente; Koliko trebam platiti i dobiti natrag?; Štedim za svoj cilj; Koji izbor mi više odgovara?; Reklama ne odlučuje umjesto mene",Book author,PIL-10;CUR-03;DSN-09,2027-02-22,2027-02-26,22,22,18-30,P1,Six topic manuscript packets for B1-M04,"All six topics have source notes, safety tier, accessible alternative and asset IDs; no unverified placeholders in safety steps",,NOT STARTED - proposed plan,,
B1-R01,07.1 Book 1 production,Editorial and specialist review,B1,Review module 01: Ja i moj dan,"1) Age-band teacher checks all six outcomes and activities; 2) named topic specialists verify exact facts and diagrams; 3) author closes corrections; 4) record any remaining noncritical issue for final copy edit. Topics: B1-001, B1-002, B1-003, B1-004, B1-005, B1-006",Module editor and required specialists,B1-D01;STR-05,2027-02-22,2027-03-05,22,23,10-18,P0,Signed review sheets for B1-M01,"Zero unresolved critical safety, privacy or factual defects; each procedural source dated",G-B1-M01 Safe module,NOT STARTED - proposed plan,,
B1-R02,07.1 Book 1 production,Editorial and specialist review,B1,Review module 02: Moj dom i moje stvari,"1) Age-band teacher checks all six outcomes and activities; 2) named topic specialists verify exact facts and diagrams; 3) author closes corrections; 4) record any remaining noncritical issue for final copy edit. Topics: B1-007, B1-008, B1-009, B1-010, B1-011, B1-012",Module editor and required specialists,B1-D02;STR-05,2027-02-22,2027-03-05,22,23,10-18,P0,Signed review sheets for B1-M02,"Zero unresolved critical safety, privacy or factual defects; each procedural source dated",G-B1-M02 Safe module,NOT STARTED - proposed plan,,
EDU-02,08 School editions,Optional sampler,Series,Produce the independent 12-lesson sampler candidate,"1) Select B1-016/020/032/055, B2-017/019/034/044 and B3-002/013/047/050; 2) use low-risk paper versions; 3) include exact grade labels, evidence and source maps; 4) clear rights",Teacher-guide editor,EDU-01,2027-02-22,2027-02-26,22,22,18-28,P2,Self-contained teacher sampler candidate,Not a sales brochure; no dependency on unfinished books; no practical hazards,,NOT STARTED - proposed plan,,
WEB-05,06 Platform,Quiz,B1 initially,Build a tiny private self-check prototype,1) Reuse reviewed worksheet questions; 2) show answer explanations without server progress storage; 3) provide print equivalent; 4) test school-permission wording,Web lead,WEB-04;CUR-09,2027-03-01,2027-03-19,23,25,12-20,P1,Three-skill quiz prototype,"No live AI advice, public rankings, behavioural ads or child accounts",,NOT STARTED - proposed plan,S12;S13;S27,https://narodne-novine.nn.hr/eli/sluzbeni/2026/22/257 | https://www.carnet.hr/carnet-ov-projekt-brain-od-ove-skolske-godine-kurikuli-o-umjetnoj-inteligenciji-dostupni-od-5-razreda-osnovne-do-kraja-srednje-skole/ | https://azop.hr/primjena-opce-uredbe-o-zastiti-podataka-u-skolskim-ustanovama/
WEB-06,06 Platform,Operations,Series,Write digital maintenance and incident runbooks,1) Define monthly link checks and quarterly volatile-content reviews; 2) record correction severity; 3) prepare rollback and notification process,Web lead and managing editor,WEB-04,2027-03-01,2027-03-12,23,24,4-6,P1,Maintenance and correction runbook,A named owner and budget exist beyond launch; no unsupported promise of perpetual hosting,,NOT STARTED - proposed plan,,
B1-D05,07.1 Book 1 production,Authoring,B1,Draft module 05: Brinem se o sebi,"1) Draft B1-025, B1-026, B1-027, B1-028, B1-029, B1-030 within allocated pages; 2) use concrete Croatian scenarios and the listed observable checks; 3) draft worksheet/card/guide notes from the same source; 4) log claims, permissions and stop conditions. Chapters: Brinem se o čistoći tijela; Moji zubi svaki dan; San i odmor dio su dana; Kretanje i voda za moj dan; Prepoznajem kako se osjećam; Ne osjećam se dobro: kome kažem?",Book author,PIL-10;CUR-03;DSN-09,2027-03-01,2027-03-05,23,23,18-30,P1,Six topic manuscript packets for B1-M05,"All six topics have source notes, safety tier, accessible alternative and asset IDs; no unverified placeholders in safety steps",,NOT STARTED - proposed plan,,
B1-D06,07.1 Book 1 production,Authoring,B1,Draft module 06: Ja i drugi,"1) Draft B1-031, B1-032, B1-033, B1-034, B1-035, B1-036 within allocated pages; 2) use concrete Croatian scenarios and the listed observable checks; 3) draft worksheet/card/guide notes from the same source; 4) log claims, permissions and stop conditions. Chapters: Predstavljam se i slušam; Kako zamoliti za pomoć; Moje tijelo i moje granice; Pogriješio sam: kako popraviti?; Kad se ne slažemo; Nitko ne mora ostati po strani",Book author,PIL-10;CUR-03;DSN-09,2027-03-01,2027-03-05,23,23,18-30,P1,Six topic manuscript packets for B1-M06,"All six topics have source notes, safety tier, accessible alternative and asset IDs; no unverified placeholders in safety steps",,NOT STARTED - proposed plan,,
B1-R03,07.1 Book 1 production,Editorial and specialist review,B1,Review module 03: Prvi koraci u kuhinji,"1) Age-band teacher checks all six outcomes and activities; 2) named topic specialists verify exact facts and diagrams; 3) author closes corrections; 4) record any remaining noncritical issue for final copy edit. Topics: B1-013, B1-014, B1-015, B1-016, B1-017, B1-018",Module editor and required specialists,B1-D03;STR-05,2027-03-01,2027-03-12,23,24,10-18,P0,Signed review sheets for B1-M03,"Zero unresolved critical safety, privacy or factual defects; each procedural source dated",G-B1-M03 Safe module,NOT STARTED - proposed plan,,
B1-R04,07.1 Book 1 production,Editorial and specialist review,B1,Review module 04: Moj prvi novac,"1) Age-band teacher checks all six outcomes and activities; 2) named topic specialists verify exact facts and diagrams; 3) author closes corrections; 4) record any remaining noncritical issue for final copy edit. Topics: B1-019, B1-020, B1-021, B1-022, B1-023, B1-024",Module editor and required specialists,B1-D04;STR-05,2027-03-01,2027-03-12,23,24,10-18,P0,Signed review sheets for B1-M04,"Zero unresolved critical safety, privacy or factual defects; each procedural source dated",G-B1-M04 Safe module,NOT STARTED - proposed plan,,
EDU-03,08 School editions,Optional sampler,Series,Independently review and freeze sampler readiness,"1) Conduct curriculum, privacy and scientific/pedagogic review; 2) close all issues; 3) obtain signed legal and academic completeness checks",Independent review panel,EDU-02,2027-03-01,2027-03-05,23,23,10-16,P2,Ready/not-ready report,All required fields and materials complete; otherwise defer without affecting Book 1,G-ED1 Readiness by 10 March,NOT STARTED - proposed plan,S16;S17,https://narodne-novine.nn.hr/clanci/sluzbeni/2018_12_116_2288.html | https://www.azoo.hr/drugi-obrazovni-materijali-arhiva/postupak-za-objavu-drugog-obrazovnog-materijala-u-virtualni-repozitorij/
B1-D07,07.1 Book 1 production,Authoring,B1,Draft module 07: Znam potražiti pomoć,"1) Draft B1-037, B1-038, B1-039, B1-040, B1-041, B1-042 within allocated pages; 2) use concrete Croatian scenarios and the listed observable checks; 3) draft worksheet/card/guide notes from the same source; 4) log claims, permissions and stop conditions. Chapters: Znam kada i kako zvati 112; Izgubio sam se: stanem i tražim pomoć; Dim ili požar: prvo sigurnost; Mala ozljeda, prava pomoć; Sigurno prelazim cestu; Uz vodu nisam sam",Book author,PIL-10;CUR-03;DSN-09,2027-03-08,2027-03-12,24,24,18-30,P1,Six topic manuscript packets for B1-M07,"All six topics have source notes, safety tier, accessible alternative and asset IDs; no unverified placeholders in safety steps",,NOT STARTED - proposed plan,,
B1-D08,07.1 Book 1 production,Authoring,B1,Draft module 08: Pametno u digitalnom svijetu,"1) Draft B1-043, B1-044, B1-045, B1-046, B1-047, B1-048 within allocated pages; 2) use concrete Croatian scenarios and the listed observable checks; 3) draft worksheet/card/guide notes from the same source; 4) log claims, permissions and stop conditions. Chapters: Što ostaje privatno?; Lozinka nije za dijeljenje; Osvojio si nagradu! Je li stvarno?; Kad je netko neugodan na internetu; Ekran ima svoje vrijeme i mjesto; Računalo može pogriješiti",Book author,PIL-10;CUR-03;DSN-09,2027-03-08,2027-03-12,24,24,18-30,P1,Six topic manuscript packets for B1-M08,"All six topics have source notes, safety tier, accessible alternative and asset IDs; no unverified placeholders in safety steps",,NOT STARTED - proposed plan,,
B1-R05,07.1 Book 1 production,Editorial and specialist review,B1,Review module 05: Brinem se o sebi,"1) Age-band teacher checks all six outcomes and activities; 2) named topic specialists verify exact facts and diagrams; 3) author closes corrections; 4) record any remaining noncritical issue for final copy edit. Topics: B1-025, B1-026, B1-027, B1-028, B1-029, B1-030",Module editor and required specialists,B1-D05;STR-05;B1-FACT,2027-03-08,2027-03-19,24,25,10-18,P0,Signed review sheets for B1-M05,"Zero unresolved critical safety, privacy or factual defects; each procedural source dated",G-B1-M05 Safe module,NOT STARTED - proposed plan,,
B1-R06,07.1 Book 1 production,Editorial and specialist review,B1,Review module 06: Ja i drugi,"1) Age-band teacher checks all six outcomes and activities; 2) named topic specialists verify exact facts and diagrams; 3) author closes corrections; 4) record any remaining noncritical issue for final copy edit. Topics: B1-031, B1-032, B1-033, B1-034, B1-035, B1-036",Module editor and required specialists,B1-D06;STR-05;B1-FACT,2027-03-08,2027-03-19,24,25,10-18,P0,Signed review sheets for B1-M06,"Zero unresolved critical safety, privacy or factual defects; each procedural source dated",G-B1-M06 Safe module,NOT STARTED - proposed plan,,
EDU-04,08 School editions,Optional filing,Series,Prepare the sampler filing package,1) Use current application and declarations; 2) include print and electronic USB/link materials as required; 3) confirm fees and delivery instructions; 4) archive exact submitted versions,School-edition coordinator,EDU-03,2027-03-08,2027-03-19,24,25,6-10,P2,Submission-ready dossier,Written current checklist satisfied; filing does not imply approval,,NOT STARTED - proposed plan,S17;S18;S19,https://www.azoo.hr/drugi-obrazovni-materijali-arhiva/postupak-za-objavu-drugog-obrazovnog-materijala-u-virtualni-repozitorij/ | https://www.azoo.hr/app/uploads/2020/11/Postupak-za-objavu-DOM-a.pdf | https://www.azoo.hr/app/uploads/2020/10/Izmjena-postupka.pdf
B1-D09,07.1 Book 1 production,Authoring,B1,Draft module 09: Snalažim se oko sebe,"1) Draft B1-049, B1-050, B1-051, B1-052, B1-053, B1-054 within allocated pages; 2) use concrete Croatian scenarios and the listed observable checks; 3) draft worksheet/card/guide notes from the same source; 4) log claims, permissions and stop conditions. Chapters: Čitam jednostavnu kartu; Autobus, tramvaj i moja karta; Spremam se za izlet; Otpad odlažem odgovorno; Brinem se o biljci; Vrijeme se mijenja: mijenjam plan",Book author,PIL-10;CUR-03;DSN-09,2027-03-15,2027-03-19,25,25,18-30,P1,Six topic manuscript packets for B1-M09,"All six topics have source notes, safety tier, accessible alternative and asset IDs; no unverified placeholders in safety steps",,NOT STARTED - proposed plan,,
B1-D10,07.1 Book 1 production,Authoring,B1,Draft module 10: Učim i doprinosim,"1) Draft B1-055, B1-056, B1-057, B1-058, B1-059, B1-060 within allocated pages; 2) use concrete Croatian scenarios and the listed observable checks; 3) draft worksheet/card/guide notes from the same source; 4) log claims, permissions and stop conditions. Chapters: Kako znam je li nešto točno?; Učim tako da isprobam i objasnim; Provjeravam prije nego završim; U timu svatko ima ulogu; Moja prava i moja zajednica; Naš mali piknik: sve povezujem",Book author,PIL-10;CUR-03;DSN-09,2027-03-15,2027-03-19,25,25,18-30,P1,Six topic manuscript packets for B1-M10,"All six topics have source notes, safety tier, accessible alternative and asset IDs; no unverified placeholders in safety steps",,NOT STARTED - proposed plan,,
B1-R07,07.1 Book 1 production,Editorial and specialist review,B1,Review module 07: Znam potražiti pomoć,"1) Age-band teacher checks all six outcomes and activities; 2) named topic specialists verify exact facts and diagrams; 3) author closes corrections; 4) record any remaining noncritical issue for final copy edit. Topics: B1-037, B1-038, B1-039, B1-040, B1-041, B1-042",Module editor and required specialists,B1-D07;STR-05;B1-FACT,2027-03-15,2027-03-26,25,26,10-18,P0,Signed review sheets for B1-M07,"Zero unresolved critical safety, privacy or factual defects; each procedural source dated",G-B1-M07 Safe module,NOT STARTED - proposed plan,,
B1-R08,07.1 Book 1 production,Editorial and specialist review,B1,Review module 08: Pametno u digitalnom svijetu,"1) Age-band teacher checks all six outcomes and activities; 2) named topic specialists verify exact facts and diagrams; 3) author closes corrections; 4) record any remaining noncritical issue for final copy edit. Topics: B1-043, B1-044, B1-045, B1-046, B1-047, B1-048",Module editor and required specialists,B1-D08;STR-05;B1-FACT,2027-03-15,2027-03-26,25,26,10-18,P0,Signed review sheets for B1-M08,"Zero unresolved critical safety, privacy or factual defects; each procedural source dated",G-B1-M08 Safe module,NOT STARTED - proposed plan,,
OPS-02,10 Operations,Content maintenance,Series,"Maintain safety, legal and digital corrections across formats",1) Triage reports immediately; 2) consult specialist; 3) update canonical topic and dependent assets; 4) publish versioned errata; 5) consider stock hold or corrective communication for serious defects,Managing editor,WEB-06,2027-03-15,2029-06-29,25,144,2-6 per review plus incident work,P0,"Correction log, reviewed updates and reprint checklist","Quarterly volatile-content review; before every reprint; critical safety issue triggers stop, not next scheduled review",,NOT STARTED - proposed plan,,
B1-MISSION,07.1 Book 1 production,Integrated activities,B1,Write ten four-page module missions,1) Use 11_module_missions as the blueprint; 2) create new transfer situations rather than copying chapter exercises; 3) include paper resources and support; 4) obtain specialist review for all practical variants,Lead educator,B1-D01;B1-D02;B1-D03;B1-D04;B1-D05;B1-D06;B1-D07;B1-D08;B1-D09;B1-D10,2027-03-22,2027-04-02,26,27,20-32,P1,Ten module missions and answer/support notes,Forty-page budget; each mission inherits the highest relevant safety tier and has observable evidence,,NOT STARTED - proposed plan,,
B1-R09,07.1 Book 1 production,Editorial and specialist review,B1,Review module 09: Snalažim se oko sebe,"1) Age-band teacher checks all six outcomes and activities; 2) named topic specialists verify exact facts and diagrams; 3) author closes corrections; 4) record any remaining noncritical issue for final copy edit. Topics: B1-049, B1-050, B1-051, B1-052, B1-053, B1-054",Module editor and required specialists,B1-D09;STR-05;B1-FACT,2027-03-22,2027-04-02,26,27,10-18,P0,Signed review sheets for B1-M09,"Zero unresolved critical safety, privacy or factual defects; each procedural source dated",G-B1-M09 Safe module,NOT STARTED - proposed plan,,
B1-R10,07.1 Book 1 production,Editorial and specialist review,B1,Review module 10: Učim i doprinosim,"1) Age-band teacher checks all six outcomes and activities; 2) named topic specialists verify exact facts and diagrams; 3) author closes corrections; 4) record any remaining noncritical issue for final copy edit. Topics: B1-055, B1-056, B1-057, B1-058, B1-059, B1-060",Module editor and required specialists,B1-D10;STR-05;B1-FACT,2027-03-22,2027-04-02,26,27,10-18,P0,Signed review sheets for B1-M10,"Zero unresolved critical safety, privacy or factual defects; each procedural source dated",G-B1-M10 Safe module,NOT STARTED - proposed plan,,
EDU-05,08 School editions,Optional filing,Series,Submit only a complete sampler and retain receipt,1) Reconfirm current deadline; 2) deliver complete package; 3) retain receipt and correspondence; 4) track reviewer requests without promising outcome,School-edition coordinator,EDU-04,2027-03-22,2027-03-26,26,26,2-4,P2,Receipt and review tracker,Submit ahead of published 31 March window if confirmed; otherwise defer; no assumed review duration,G-ED2 Filing,NOT STARTED - proposed plan,S17;S18;S19,https://www.azoo.hr/drugi-obrazovni-materijali-arhiva/postupak-za-objavu-drugog-obrazovnog-materijala-u-virtualni-repozitorij/ | https://www.azoo.hr/app/uploads/2020/11/Postupak-za-objavu-DOM-a.pdf | https://www.azoo.hr/app/uploads/2020/10/Izmjena-postupka.pdf
B1-COPY,07.1 Book 1 production,Editing,B1,Complete developmental and Croatian language editing,"1) Harmonise terms, reading load and cross-references; 2) verify every worked example; 3) check all 60 topic IDs; 4) send changed technical text back to reviewer",Croatian editor,B1-R01;B1-R02;B1-R03;B1-R04;B1-R05;B1-R06;B1-R07;B1-R08;B1-R09;B1-R10;B1-MISSION,2027-04-05,2027-04-16,28,29,28-44,P1,Copyedited complete manuscript,"Consistent standard Croatian, diacritics, units, money and page allocation; no unresolved comments in final text",,NOT STARTED - proposed plan,,
B1-RETEST,07.1 Book 1 production,Reader validation,B1,Retest the complete content with the target band,1) Sample new and revised chapters across all modules; 2) use paper and adult-approved practical variants only; 3) include supported readers; 4) collect anonymous comprehension and usability observations,Pilot educator,B1-R01;B1-R02;B1-R03;B1-R04;B1-R05;B1-R06;B1-R07;B1-R08;B1-R09;B1-R10;B1-MISSION;LEG-06;LEG-04,2027-04-05,2027-04-16,28,29,16-26,P1,Book-specific usability retest,"Zero safety events or unresolved confusion about stop conditions; summer sessions are voluntary family/community sessions, not assumed school access",,NOT STARTED - proposed plan,S16;S27,https://narodne-novine.nn.hr/clanci/sluzbeni/2018_12_116_2288.html | https://azop.hr/primjena-opce-uredbe-o-zastiti-podataka-u-skolskim-ustanovama/
B1-FREEZE,07.1 Book 1 production,Content gate,B1,Freeze the reviewed manuscript and all safety wording,1) Integrate retest changes; 2) close editorial and illustration defects; 3) obtain final specialist sign-offs; 4) lock a versioned manuscript and claim ledger,Managing editor,B1-COPY;B1-RETEST;B1-ART;B1-FACT,2027-04-19,2027-04-23,30,30,8-14,P0,Signed content freeze,All critical risks closed; any future substantive change reopens the affected review,G-B1 Content freeze,NOT STARTED - proposed plan,,
B1-CARD,07.1 Book 1 production,Cards and passport,B1,Produce printable 72-card deck and skills passport,"1) Make 60 skill, 10 mission and 2 instruction cards; 2) put answers/support on reverse; 3) retain safety tiers; 4) add private progress passport; 5) defer physical inventory",Companion designer,B1-FREEZE;DSN-05,2027-04-26,2027-05-14,31,33,20-32,P1,Printable deck and 12-page passport,Exactly 72 cards; no hazardous challenge or public ranking; every ID resolves,,NOT STARTED - proposed plan,,
B1-LAYOUT,07.1 Book 1 production,Typesetting,B1,Typeset the complete book and check the set,1) Flow final text and art into shared templates; 2) inspect every spread and cross-reference; 3) compare cover/spine with other age bands; 4) resolve page overflow without shrinking safety text,Book designer,B1-FREEZE,2027-04-26,2027-05-07,31,32,36-56,P1,Complete laid-out book PDF and editable sources,Exactly 192 planned pages or a formally approved revised signature; accessible reading sizes retained,,NOT STARTED - proposed plan,,
B1-META,07.1 Book 1 production,Sales preparation,B1,"Prepare accurate listings, samples and channel offers",1) Write parent-facing description and age/safety scope; 2) prepare metadata and sample spreads; 3) negotiate direct/bookstore/library terms; 4) remove unsupported claims,Commercial editor,B1-FREEZE;LEG-09;B1-Q,2027-04-26,2027-05-14,31,33,10-16,P1,"Approved metadata, sales page and channel term sheet","No ministry endorsement, guaranteed outcomes or inflated school-use claims",,NOT STARTED - proposed plan,,
B1-PG,07.1 Book 1 production,Parent guide,B1,Produce the parent/caregiver guide,1) Group prompts for all 60 topics into a 24-page guide; 2) explain support and stopping rules; 3) add low-cost/adapted options; 4) check all links and IDs,Family-guide editor,B1-FREEZE;DSN-05,2027-04-26,2027-05-14,31,33,12-20,P1,Accessible parent guide draft and reviewed final,Coverage index reaches every topic; no assumption about family structure or finances,,NOT STARTED - proposed plan,,
B1-TG-DRAFT,07.1 Book 1 production,Teacher guide,B1,Draft the teacher-guide content without approval claims,"1) Create 60 brief lesson plans; 2) add 12-lesson and 35-session proposed paths; 3) map exact grades and candidate codes; 4) include preparation, evidence, differentiation and stop rules",Teacher-guide editor,B1-FREEZE;CUR-10;CUR-08,2027-04-26,2027-05-28,31,35,30-48,P1,Approx. 96-page teacher-guide draft,Clearly marked candidate/evaluation version; formal classroom distribution waits for applicable legal route,,NOT STARTED - proposed plan,S01;S02;S03;S04;S05;S06;S07;S16;S17,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_157.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_153.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_154.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_150.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_152.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_10_217.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_10_212.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2018_12_116_2288.html | https://www.azoo.hr/drugi-obrazovni-materijali-arhiva/postupak-za-objavu-drugog-obrazovnog-materijala-u-virtualni-repozitorij/
B1-WS,07.1 Book 1 production,Worksheets,B1,Produce 60 low-ink worksheets and separate answer notes,1) Reuse approved topic activity; 2) supply worked/support examples and fictional data; 3) test printing and oral alternatives; 4) attach copying-licence wording,Worksheet editor,B1-FREEZE;DSN-05,2027-04-26,2027-05-14,31,33,22-36,P1,60 worksheets and answer/support pack,All essential activities available without child phone or purchases; rights and school-use conditions clear,,NOT STARTED - proposed plan,S12;S16,https://narodne-novine.nn.hr/eli/sluzbeni/2026/22/257 | https://narodne-novine.nn.hr/clanci/sluzbeni/2018_12_116_2288.html
B1-PREPRESS,07.1 Book 1 production,Prepress,B1,Proofread final layout and run production checks,"1) Read every page at actual size; 2) check numbers, safety diagrams, QR codes and IDs; 3) inspect bleed/gutter/colour; 4) verify permissions and imprint requirements",Independent proofreader and production manager,B1-LAYOUT,2027-05-10,2027-05-14,33,33,16-26,P0,Prepress defect log with closures,"No missing glyphs, clipping, broken QR paths or incorrect safety labels",,NOT STARTED - proposed plan,,
B1-ID,07.1 Book 1 production,Publishing administration,B1,"Finalise edition identifiers, CIP and imprint",1) Confirm separate format/edition ISBNs; 2) apply for eligible book CIP after final correction; 3) insert current NSK-prescribed number/access wording; 4) confirm exclusions for worksheets/cards,Production manager,B1-PREPRESS;LEG-07,2027-05-17,2027-05-21,34,34,3-6,P1,Identifier register and final imprint,Do not paste an obsolete full CIP record; no unnecessary CIP claim for excluded material,,NOT STARTED - proposed plan,S24;S25,https://nsk.hr/nakladnici/hrvatski-ured-za-isbn/ | https://nsk.hr/nakladnici/cip/
B1-PREORDER,07.1 Book 1 production,Demand validation,B1,Validate paid demand only through a compliant transparent offer,1) Set quoted price and realistic delivery range; 2) show genuine samples and terms; 3) collect adult preorders only if refund capacity exists; 4) compare net committed orders with print exposure,Commercial lead,B1-META;WEB-04;WEB-03,2027-05-17,2027-05-28,34,35,6-12,P1,Dated preorder/demand and refund-liability report,"No invented scarcity or promised school subsidy; order volume is evidence, not proof of future sales",,NOT STARTED - proposed plan,,
B1-WEB,07.1 Book 1 production,Companion publication,B1,Publish checked extras and test every print-to-web path,1) Upload reviewed parent/worksheet/card/passport assets; 2) verify content versions and rights; 3) test mobile/keyboard/print access; 4) run privacy and link checks,Web lead,B1-PG;B1-WS;B1-CARD;WEB-04,2027-05-17,2027-05-28,34,35,10-16,P1,Live or launch-ready book companion library,Every printed code resolves to the matching edition; no account requirement or incomplete essential task,,NOT STARTED - proposed plan,,
B1-PROOF,07.1 Book 1 production,Manufacturing gate,B1,Approve a physical contract proof and binding sample,"1) Inspect proof against final files; 2) check colour, readability, spine, paper and binding; 3) scan actual QR codes; 4) sign or reject proof",Production manager and safety editor,B1-ID;B1-Q,2027-05-24,2027-05-28,35,35,5-8,P0,Signed physical print proof,Correct edition/ISBN/imprint and safe readable diagrams; no approval based solely on screen view,G-B1 Print proof,NOT STARTED - proposed plan,,
